feature_1,feature_2,corr,abs_corr
3-Hydroxybutyric acid (mM),Acetoacetic acid (mM),0.939251,0.939251
Isoleucine (mM),Leucine (mM),0.895120,0.895120
Leucine (mM),Valine (mM),0.888708,0.888708
Acetoacetic acid (mM),Acetone (mM),0.837997,0.837997
Isoleucine (mM),Valine (mM),0.834671,0.834671
HDL cholesterol (mg/dl),SPC (mM),0.823897,0.823897
3-Hydroxybutyric acid (mM),Acetone (mM),0.793381,0.793381
Glutamic acid (mM),Glutamine to glutamate ratio (unitless),-0.747504,0.747504
Albumin (g/dl),Calcium (mg/dl),0.668403,0.668403
Pyruvic acid (mM),Lactate to pyruvate ratio (unitless),-0.648297,0.648297
LDL cholesterol (mg/dl),Apolipoprotein B (mg/ml),0.638909,0.638909
Phenylalanine (mM),BCAA to AAA (Phe+Tyr) ratio (unitless),-0.592671,0.592671
Creatinine (mM),Urea to creatinine ratio (unitless),-0.577170,0.577170
Creatinine (mM),Estimated Glomerular Filtration Rate (ml/min/1.73m²),-0.564166,0.564166
Glutamic acid (mM),Lactic acid (mM),0.557660,0.557660
Lysine (mM),Ornithine (mM),0.548351,0.548351
C reactive protein (mg/dl),Erythrocyte sedimentation rate (mm/h),0.543307,0.543307
Alanine (mM),Tyrosine (mM),0.540786,0.540786
Alanine (mM),Lactic acid (mM),0.528292,0.528292
Urate (mg/dl),Estimated Glomerular Filtration Rate (ml/min/1.73m²),-0.521088,0.521088
3-Hydroxyisobutyric acid (mM),Valine (mM),0.518348,0.518348
Dimethylamine (mM),Trimethylamine-N-oxide (mM),0.506041,0.506041
Glyc A (mM),Leukocytes (G/l),0.505456,0.505456
Leucine (mM),Tyrosine (mM),0.503743,0.503743
Leucine (mM),Lysine (mM),0.496077,0.496077
Lysine (mM),Valine (mM),0.495544,0.495544
Tyrosine (mM),Valine (mM),0.488374,0.488374
Glutamine (mM),Histidine (mM),0.484205,0.484205
Isoleucine (mM),Tyrosine (mM),0.480803,0.480803
Lysine (mM),Tyrosine (mM),0.476998,0.476998
Valine (mM),BCAA to AAA (Phe+Tyr) ratio (unitless),0.475507,0.475507
Albumin (g/dl),Erythrocyte sedimentation rate (mm/h),-0.471238,0.471238
Alanine (mM),Proline (mM),0.471059,0.471059
Urea (mg/dl),Urea to creatinine ratio (unitless),0.471002,0.471002
2-Hydroxybutyric acid (mM),Acetoacetic acid (mM),0.466032,0.466032
2-Hydroxybutyric acid (mM),Triglycerides (mg/dl),0.465361,0.465361
Cystine (mM),Estimated Glomerular Filtration Rate (ml/min/1.73m²),-0.463182,0.463182
Lactic acid (mM),Glutamine to glutamate ratio (unitless),-0.459685,0.459685
2-Hydroxybutyric acid (mM),3-Hydroxybutyric acid (mM),0.456134,0.456134
Erythrocyte sedimentation rate (mm/h),Erythrocytes (T/l),-0.453396,0.453396
Isoleucine (mM),Lysine (mM),0.452315,0.452315
Lactic acid (mM),Pyruvic acid (mM),0.451422,0.451422
2-Hydroxybutyric acid (mM),3-Hydroxyisobutyric acid (mM),0.451271,0.451271
Glycine (mM),Serine (mM),0.450900,0.450900
Glyc A (mM),Erythrocyte sedimentation rate (mm/h),0.444069,0.444069
Leucine (mM),Erythrocytes (T/l),0.442064,0.442064
2-Hydroxybutyric acid (mM),Acetone (mM),0.439478,0.439478
3-Hydroxyisobutyric acid (mM),Leucine (mM),0.433851,0.433851
Iron (µg/dl),Bilirubin (mg/dl),0.428997,0.428997
2-Aminobutyric acid (mM),3-Hydroxyisobutyric acid (mM),0.427047,0.427047
Leucine (mM),BCAA to AAA (Phe+Tyr) ratio (unitless),0.426999,0.426999
Isoleucine (mM),Proline (mM),0.426501,0.426501
Isoleucine (mM),BCAA to AAA (Phe+Tyr) ratio (unitless),0.426049,0.426049
2-Aminobutyric acid (mM),2-Hydroxybutyric acid (mM),0.421499,0.421499
Myo-inositol (mM),Urea (mg/dl),0.420030,0.420030
Creatinine (mM),Leucine (mM),0.418267,0.418267
Glutamine (mM),Serine (mM),0.415514,0.415514
Leucine (mM),Proline (mM),0.413207,0.413207
HDL cholesterol (mg/dl),Triglycerides (mg/dl),-0.410067,0.410067
Glutamic acid (mM),Ornithine (mM),0.410004,0.410004
Methionine (mM),Tyrosine (mM),0.407270,0.407270
Creatinine (mM),Urate (mg/dl),0.406063,0.406063
Lactic acid (mM),Ornithine (mM),0.405919,0.405919
Leucine (mM),Urate (mg/dl),0.404164,0.404164
Proline (mM),Tyrosine (mM),0.401926,0.401926
Creatinine (mM),Isoleucine (mM),0.401709,0.401709
3-Hydroxyisobutyric acid (mM),Isoleucine (mM),0.400975,0.400975
HDL cholesterol (mg/dl),Leukocytes (G/l),-0.399127,0.399127
Isoleucine (mM),Erythrocytes (T/l),0.399040,0.399040
Creatinine (mM),Myo-inositol (mM),0.397289,0.397289
Triglycerides (mg/dl),Apolipoprotein B (mg/ml),0.396925,0.396925
Proline (mM),Valine (mM),0.396118,0.396118
Lactic acid (mM),Leucine (mM),0.395283,0.395283
Alanine (mM),Choline (mM),0.394461,0.394461
